id,code,name,account_type,chart_template_id/id,reconcile
account629000,629000,Rabais  remises et ristournes obtenus sur autres services exterieurs,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account631000,631000,Redevances pour concessions de marques  brevets  licences  procedes  droits et valeurs similaires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account633000,633000,Jetons de presence,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account634100,634100,Creances de l'exercice,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account634400,634400,Creances des exercices anterieurs,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account635100,635100,Quote-part de benefice transferee (comptabilite du gerant),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account635500,635500,Quote-part de perte supportee (comptabilite des associes non gerants),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account636000,636000,Charges nettes sur cessions d'immobilisations et autres pertes sur elements non recurrents ou exceptionnels,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account637000,637000,Reduction de valeur,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account638000,638000,Charges diverses ordinaires liees a une modification comptable a prendre en compte dans le resultat de l'exercice ou a une activ,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account640000,640000,Salaires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account640100,640100,Heures supplementaires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account640200,640200,Primes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account640300,640300,Gratifications,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account640400,640400,Avantages en nature,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account640900,640900,Autres complements de salaires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account642000,642000,Appointements,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account642100,642100,Heures supplementaires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account642200,642200,Primes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account642300,642300,Gratifications,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account642400,642400,Avantages en nature,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account642900,642900,Autres compléments d'appointements.,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account643000,643000,Indemnites representatives de frais,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account644000,644000,Commissions sur achats,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account644100,644100,Commissions sur ventes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account645000,645000,Remunerations des administrateurs  gerants et associes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646020,646020,Indemnites de preavis et de licenciements (gratification de fin de service),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646040,646040,Supplement familial,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646200,646200,Conges payes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646220,646220,Indemnites de preavis et de licenciement (gratification de fin de service),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646240,646240,Supplement familial,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646400,646400,Conges payes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646420,646420,Indemnites de preavis et de licenciement (gratification de fin de service),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646440,646440,Supplement familial,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646500,646500,Conges payes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646520,646520,Indemnites de preavis et de licenciement,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account646540,646540,Supplement familial,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account647000,647000,Cotisations de securite sociale sur salaires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account647200,647200,Cotisations de securite sociale sur appointements,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account647400,647400,Cotisations de securite sociale sur commissions,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account647500,647500,Cotisations de securite sociale sur remunerations des administrateurs et gerants,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account647600,647600,Prestations directes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account648000,648000,Charges de personnel liees a une modification comptable a imputer au resultat de l'exercice ou a une activite abandonnee,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account649000,649000,Autres charges de personnel,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account649500,649500,Au tres charges sociales,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account651160,651160,Des emprunts et dettes assimilees,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account651170,651170,Des dettes rattachees a des participations,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account651500,651500,Interets des comptes courants et des depots crediteurs,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account651600,651600,Interets bancaires et sur operations de financement,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account651700,651700,Interets des obligations cautionnees,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account651800,651800,Interets des autres dettes (y compris les penalites et interets de retard sur emprunts),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account653000,653000,Pertes sur creances liees a des participations,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account654000,654000,Escomptes accordes,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account655000,655000,Pertes de change,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account656000,656000,Charges nettes sur cessions de valeurs mobilieres,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account657000,657000,Autres charges financieres,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account658000,658000,Charges financieres liees a une modification comptable a imputer au resultat de l'exercice ou a une activite abandonnee,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account661100,661100,TFP,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account661200,661200,FOPROLOS,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account661800,661800,Autres,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account665100,665100,Impots et taxes divers (sauf impots sur les benefices),Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account665200,665200,Taxes sur le chiffre d'affaires non recuperables,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account665400,665400,Droits d'enregistrement et de timbre,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account665500,665500,Taxes sur les vehicules,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account665800,665800,Autres droits,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account668000,668000,Impots et taxes lies a une modification comptable a imputer au resultat de l'exercice ou a une activite abandonnee,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account670000,670000,Pertes extraordinaires,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account681110,681110,Immobilisations incorporelles,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account681120,681120,Immobilisations corporelles,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account681200,681200,Dotations aux resorptions des charges reportees,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account681500,681500,Dotations aux provisions pour risques et charges d'exploitation,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account681610,681610,Immobilisations incorporelles,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account681620,681620,Immobilisations corporelles,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account681730,681730,Stocks et en-cours,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account681740,681740,Creances,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account681800,681800,Dotations aux amortissements et aux provisions liees a une modification comptable a imputer au resultat de l'exercice ou a une a,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account686100,686100,Dotations aux amortissements des primes de remboursement des obligations,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
account686500,686500,Dotations aux provisions pour risques et charges financieres,Expenses,l10n_tn_account.l10n_tn_chart_template,FALSE
